source,target,value
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137574600-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8123-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8123-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8051-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8051-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1819-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1819-thumb.jpg,/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f241227520-thumb.jpg,1
/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f241227520-thumb.jpg,/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3806-thumb.jpg,1
/wp-content/gallery/lofoten/thumbs/thumbs_raw__MG_3806-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5466-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5466-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f223839784-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f223839784-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4952-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4952-thumb.jpg,/wp-content/gallery/the-presidents-of-the-united-states-of-america-20081026-palm-springs/thumbs/thumbs_f141481880-thumb.jpg,1
/wp-content/gallery/the-presidents-of-the-united-states-of-america-20081026-palm-springs/thumbs/thumbs_f141481880-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4937-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4937-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8107-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8107-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5381-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_raw__MG_5381-thumb.jpg,/wp-content/gallery/val-di-cogne-val-daosta-italy/cache/raw__MG_6477-raw__MG_6484-thumb.jpg-nggid041139-ngg0dyn-240x160x100-00f0w010c011r110f110r010t010.jpg,1
/wp-content/gallery/val-di-cogne-val-daosta-italy/cache/raw__MG_6477-raw__MG_6484-thumb.jpg-nggid041139-ngg0dyn-240x160x100-00f0w010c011r110f110r010t010.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7770-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7770-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4975-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4975-thumb.jpg,/wp-content/gallery/co-clare/cache/MG_5059-thumb.jpg-nggid03783-ngg0dyn-240x160x100-00f0w010c011r110f110r010t010.jpg,1
/wp-content/gallery/co-clare/cache/MG_5059-thumb.jpg-nggid03783-ngg0dyn-240x160x100-00f0w010c011r110f110r010t010.jpg,/wp-content/uploads/2021/01/raw__MG_5997-thumb-360x360.jpe,1
/wp-content/uploads/2021/01/raw__MG_5997-thumb-360x360.jpe,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4992-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4992-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1810-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1810-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7868-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7868-thumb.jpg,/wp-content/gallery/valnontey-val-daosta-italy-1/cache/raw__MG_8584-thumb.jpg-nggid041135-ngg0dyn-240x160x100-00f0w010c011r110f110r010t010.jpg,1
/wp-content/gallery/valnontey-val-daosta-italy-1/cache/raw__MG_8584-thumb.jpg-nggid041135-ngg0dyn-240x160x100-00f0w010c011r110f110r010t010.jpg,/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_raw__MG_1043-thumb.jpg,1
/wp-content/gallery/konopiste-czech-republic/thumbs/thumbs_raw__MG_1043-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8084-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8084-thumb.jpg,/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240759104-thumb.jpg,1
/wp-content/gallery/shooglenifty-20060811-gromo/thumbs/thumbs_f240759104-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224062088-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224062088-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137547960-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f137547960-thumb.jpg,/wp-content/gallery/co-clare/thumbs/thumbs_MG_5037-thumb.jpg,1
/wp-content/gallery/co-clare/thumbs/thumbs_MG_5037-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4953-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4953-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4927-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4927-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8073-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_8073-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1812-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1812-thumb.jpg,/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136992208-thumb.jpg,1
/wp-content/gallery/ian-anderson-20081216-turin/thumbs/thumbs_f136992208-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1912-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1912-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4910-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4910-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5985-thumb.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_raw__MG_5985-thumb.jpg,/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4929-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy/thumbs/thumbs_raw__MG_4929-thumb.jpg,/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f183700712-thumb.jpg,1
/wp-content/gallery/loreena-mckennitt-20080713-brescia/thumbs/thumbs_f183700712-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7997-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7997-thumb.jpg,/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224341176-thumb.jpg,1
/wp-content/gallery/gwenael-kerleo/thumbs/thumbs_f224341176-thumb.jpg,/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1888-thumb.jpg,1
/wp-content/gallery/concert-in-milan-italy/thumbs/thumbs_mg_1888-thumb.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7938-thumb.jpg,1
/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7938-thumb.jpg,/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_landscape2.jpg,1
/wp-content/gallery/valsavarenche-val-daosta-italy/thumbs/thumbs_landscape2.jpg,/wp-content/gallery/concert-in-asti-italy-1/thumbs/thumbs_raw__MG_7807-thumb.jpg,1
